event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
961e7678-ec8a-4285-abab-e235153b78e3_000001,abce0969-da11-4161-9087-46dd81c09a12,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000002,220d0254-3d3a-4efa-8262-46bc20b10a94,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000003,f00b7743-fce9-4a7c-aed4-84bcd56f566e,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
961e7678-ec8a-4285-abab-e235153b78e3_000004,9f4bf35b-5d8e-4106-a410-e7aaf75bf1a9,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
961e7678-ec8a-4285-abab-e235153b78e3_000005,66824656-ed49-4b60-b746-617ab5110ea7,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000006,eb7bce06-0df9-4236-9883-7987f4ee04f4,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000007,5e64b916-f5b2-4380-9e5e-d69386bd2341,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000008,8a29d0f3-27d3-47fe-9629-eb6c5a5659ae,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000009,439bee1c-6392-44a7-98f8-42fa8dcd6ae0,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000010,f2681cbf-4d0e-4ab5-8cb1-e85afab8e8c0,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000011,bb11ad65-4e7a-403f-a655-be10c4042a23,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000012,a51fad74-1518-411d-b779-5eaa6d54da65,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000013,59ff42fe-bfee-44b2-a7cf-988a968471b3,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000014,4631ec28-489e-43a9-abaa-02087122bf51,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000015,3f0eeefd-d0e3-4e75-b88a-0fe21524f4c1,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000016,77418ff5-5e85-4043-ae07-db14c7dd31b2,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000017,71074987-f2d6-43f6-997e-d110230ae0db,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000018,86289d49-050e-4156-88fe-27c5c3128f0b,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000019,2ee8f8a3-2952-4010-b3bf-63841a34f69f,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
961e7678-ec8a-4285-abab-e235153b78e3_000020,2d0d701a-bd69-4038-afb3-e4fc95d46a42,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
961e7678-ec8a-4285-abab-e235153b78e3_000021,f56d6fe7-278b-42ba-8b61-6175a6a6d2e6,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
961e7678-ec8a-4285-abab-e235153b78e3_000022,d7b0630c-3f53-4585-982a-5723d1386e23,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
961e7678-ec8a-4285-abab-e235153b78e3_000023,3857b2c5-5345-420d-a738-5d8d55ee8282,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000024,4668426c-cda8-4791-a4a4-bc32b3a5892a,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000025,eb78e245-c959-478d-bd06-ac5f4fec425a,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000026,1232e51e-ecef-4322-aaeb-c3683b659867,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000027,692ffc4c-8730-4904-b711-1535c1a154d0,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000028,dcdf3767-3791-4d77-8bc3-12cbbadee136,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
961e7678-ec8a-4285-abab-e235153b78e3_000029,42e59ad6-bbae-44ac-81a1-33ca87bd9709,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
961e7678-ec8a-4285-abab-e235153b78e3_000030,1b30cf09-e4d5-4d59-95c5-e7c782d24c07,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
961e7678-ec8a-4285-abab-e235153b78e3_000031,e9d8e56e-cdc7-4b43-b07b-cffb088dda28,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000032,6e1594f2-7f22-4010-a319-b2acb4711113,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
961e7678-ec8a-4285-abab-e235153b78e3_000033,2ec1ccf3-bcb7-4ded-aed5-95e455ce384f,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000034,c4f078c8-da2d-4638-a8ac-b3be2759d04c,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000035,42850e5a-a6bc-4481-8f90-7d930093a704,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000036,fdde80f7-d1bc-4690-ba4a-40ac14eada01,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000037,cb068565-a4e1-4133-b405-ebc76f360b82,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000038,da4b1d56-c25d-4b1e-8988-f8a0a6d237b4,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000039,5d04718c-4fcc-4c58-9353-82913f838dc7,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000040,373968e1-0a3a-485b-9bac-bd81ca116edd,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000041,d5ecc2f7-a162-4058-bca8-8fa5e84c9343,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000042,54004fdc-de4e-4150-98d9-d5a4a995ba5b,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000043,4dc36c7f-428c-4f32-bdb5-68ecf5a3d0f9,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000044,983aa3d9-768a-4dd4-81cd-9d2ed50ac9c7,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000045,d10cbc75-8424-44fa-943c-0bf48791e105,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000046,8790b98e-5afc-4b57-93c2-ac5a16ed6ded,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000047,c41b0030-4499-4e3f-b0c2-a8cbf4662a68,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000048,3816315e-b399-4874-9f33-6f30616203df,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000049,274c0c87-b648-4a0a-a969-3ce0388c61af,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000050,08d4ce0e-edcf-45fe-9ec0-646673afe030,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000051,2fec849d-7b05-412e-bca3-52a6acee1a88,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000052,621054cb-3f8d-4d26-85ec-fec63710f1ec,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000053,7c5f56a8-ef65-4e92-bbe1-ea5a176151f6,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000054,f7096709-5965-483d-a0ff-6a012ba8ee38,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000055,7d3929f4-4252-4463-96e2-f5ebaaaa7efe,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000056,16becc78-8258-422b-9cca-df6761116e90,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000057,22b80414-ad83-4edb-aef0-da2b7dcce4c9,promotion,2025-4,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000058,2e6413af-6ae1-4cfb-96c6-2e3850b38298,promotion,2025-4,9,9,A,Sales,Hamburg,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000059,26e999d3-1927-4c14-82b1-64b1a4560aff,promotion,2025-4,8,8,A,Consultant,Helsinki,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000060,7f44cf91-b9ad-4e7e-8a25-7861221babe5,promotion,2025-4,7,6,A,Consultant,Helsinki,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000061,f8ad20bd-f7ff-4c13-9f68-429223fcb525,promotion,2025-4,8,7,A,Consultant,Helsinki,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000062,447f5cff-1164-4fcd-961b-7aced0a2dd1c,promotion,2025-4,7,7,A,Sales,Helsinki,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000063,d6ef4f79-3cf8-4b26-9c6a-11f9fd04ca5d,promotion,2025-4,8,8,A,Consultant,Copenhagen,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000064,d0ed3b52-6ff0-45e7-a24f-1a085b4bd83c,promotion,2025-4,7,7,A,Recruitment,Zurich,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000065,953e3bb9-b583-40be-a591-e4489be3f4fd,promotion,2025-4,18,9,AC,Consultant,Frankfurt,AC,C,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000066,0bb4fc4e-4030-46cd-a2a2-ce9b16f7372f,promotion,2025-4,6,6,A,Sales,Amsterdam,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000067,24c9e9ec-e7c9-4cbf-a86d-9fa85f374ba4,promotion,2025-7,11,6,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000068,ba76a273-a613-4b59-a789-2739ed1c9daa,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
961e7678-ec8a-4285-abab-e235153b78e3_000069,709c7162-26e9-41e0-9d99-7f8b57dc948b,promotion,2025-7,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
